batch_id,factory_name,factory_city,industry_type,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,recommended_product,predicted_market_demand,recommended_buyer,buyer_city,estimated_payback_months,treatment_dependency,ai_segmentation_category,esg_impact_score,upload_date
RWAI-100010,Vaidya-Gara,Panipat,Chemical Processing,Printing Dye Residue,Chemical,5404.54,Microplastics,7.91,713.61,258.7,6487.54,371.51,1193.67,377.51,17.91,37.59,57.23,65.81,47.75,11.44,2106445.5,3.94,78.31,25.61,59.3,154.59,Recycled Plastic Lumber,Emerging,Adani Circular Infra,Kanpur,21.0,Medium,Low Recovery Potential,77.16,2023-10-02
RWAI-100011,"Ganguly, Zacharia and Khare",Kanpur,Textile Manufacturing,Chemical Effluent,Chemical,4731.57,Lead,7.03,322.61,258.54,5578.15,437.23,2984.83,311.9,12.0,25.26,68.65,62.85,72.56,58.85,779373.84,3.91,96.15,48.36,86.98,58.76,Eco Packaging Sheets,High,RenewBuild India,Ludhiana,20.7,High,Needs Advanced Treatment,69.9,2025-07-18
RWAI-100012,Shukla-Lal,Jaipur,Garment Processing,Chemical Effluent,Organic,3304.97,Sulfide,5.94,782.82,376.85,7181.01,202.97,2429.53,15.61,33.69,57.8,43.83,45.99,50.83,61.98,1361753.53,6.55,40.94,50.47,41.14,430.3,Sustainable Ceiling Panels,High,Mahindra Sustainable Solutions,Panipat,5.0,Medium,Highly Recoverable,70.17,2024-08-31
RWAI-100013,"Khanna, Saxena and Tiwari",Tiruppur,Synthetic Fiber Plant,Chemical Effluent,Chemical,732.69,Low Contamination,8.1,670.13,116.09,1688.7,269.34,3251.58,343.76,63.37,53.39,36.96,29.48,84.22,61.61,901622.4,8.57,80.27,35.24,98.68,64.25,Textile Composite Panels,High,Adani Circular Infra,Kanpur,35.8,Low,Highly Recoverable,62.86,2026-01-31
RWAI-100014,Bajaj Inc,Panipat,Leather Processing,Printing Dye Residue,Organic,1803.85,Lead,8.26,840.3,407.3,1807.74,455.62,3061.76,481.96,26.59,24.08,70.17,53.75,78.02,59.81,342134.33,8.62,47.04,12.36,44.84,16.91,Eco Paver Blocks,Medium,Tata Sustainable Materials,Mumbai,17.6,High,Low Recovery Potential,61.8,2025-02-06
RWAI-100015,Savant-Anand,Panipat,Chemical Processing,Synthetic Yarn Waste,Mixed,2133.95,Heavy Metals,7.31,1005.34,457.28,4765.01,398.21,1790.8,67.72,41.84,27.44,45.57,52.29,33.63,9.49,707527.15,8.0,57.45,87.17,82.97,47.81,Green Roofing Sheets,Medium,Godrej Interio Eco,Jaipur,32.2,Low,Moderately Recoverable,62.37,2024-10-08
RWAI-100016,"Sankar, Luthra and Rau",Kanpur,Textile Manufacturing,Denim Processing Sludge,Polymer,5879.31,Low Contamination,5.03,1141.13,370.08,7466.57,231.7,1554.41,32.71,29.81,58.33,46.16,51.97,52.59,48.57,2059076.39,3.22,88.76,14.21,39.63,322.3,Biodegradable Packaging,Medium,Greenply Industries,Coimbatore,9.2,High,Low Recovery Potential,93.66,2026-01-20
RWAI-100017,Virk-Karan,Bhiwandi,Industrial Dyeing,Fabric Scraps,Mixed,5479.24,Sulfide,6.76,412.98,49.59,5499.41,441.22,5725.0,210.25,45.41,33.83,97.03,79.93,20.59,31.37,1827699.99,5.62,65.66,12.86,50.44,339.87,Recycled Plastic Lumber,Medium,Adani Circular Infra,Mumbai,3.9,Low,Low Recovery Potential,54.92,2025-11-14
RWAI-100018,Datta Group,Tiruppur,Fabric Export Unit,Mixed Textile Waste,Organic,1858.38,High TDS,8.44,133.38,25.88,2326.32,114.66,3745.46,10.95,66.96,57.76,58.31,47.25,96.48,70.07,780856.08,6.15,92.09,78.81,88.56,155.79,Acoustic Insulation Panels,Very High,RenewBuild India,Panipat,36.0,Low,Needs Advanced Treatment,49.54,2025-04-29
RWAI-100019,Sarin LLC,Kanpur,Industrial Dyeing,Industrial Wastewater,Mixed,9675.21,Heavy Metals,5.25,1098.94,121.81,7488.56,423.56,5568.91,53.25,33.39,40.19,45.9,47.04,67.69,65.33,1439347.97,3.59,73.02,52.37,68.19,353.8,Eco Furniture Boards,Emerging,Godrej Interio Eco,Kanpur,27.3,Low,Highly Recoverable,85.89,2023-08-25
RWAI-100020,"Dewan, Doshi and Jaggi",Panipat,Chemical Processing,Fabric Scraps,Mixed,637.3,Microplastics,7.15,1044.92,155.04,4923.0,321.74,3895.54,290.92,44.83,36.07,83.49,73.19,30.95,23.75,450834.09,7.32,51.76,72.6,55.85,92.2,Eco Bricks,High,RenewBuild India,Panipat,12.3,Medium,Needs Advanced Treatment,66.2,2024-07-17
RWAI-100021,"Barad, Mane and Barad",Bhiwandi,Garment Processing,Industrial Wastewater,Textile,578.09,Chromium,8.64,735.38,228.47,5745.27,48.04,1322.96,67.2,23.23,44.31,66.31,66.04,92.45,8.63,2084812.16,6.69,68.4,84.52,83.54,349.29,Textile Composite Panels,High,Tata Sustainable Materials,Kanpur,3.5,High,Moderately Recoverable,77.34,2025-08-13
RWAI-100022,"Gour, Bal and Mann",Jaipur,Chemical Processing,Textile Dye Waste,Mixed,1297.88,Sulfide,7.92,1194.75,34.05,1001.58,217.88,2164.25,211.05,59.31,32.27,84.55,64.44,74.3,45.75,466228.82,8.04,42.56,62.67,93.32,41.73,Sustainable Ceiling Panels,Very High,Asian Paints Eco Division,Bhiwandi,17.7,Low,Moderately Recoverable,80.39,2023-11-12
RWAI-100023,Jani-Wadhwa,Mumbai,Chemical Processing,Industrial Wastewater,Mixed,1461.53,Lead,7.81,943.12,27.89,1315.14,441.36,1399.51,11.58,40.54,48.35,40.61,42.86,37.48,62.09,913990.08,9.1,69.08,65.88,25.89,437.88,Automotive Soundproof Panels,Medium,Birla Eco Materials,Coimbatore,20.3,Low,Needs Advanced Treatment,77.6,2024-03-09
RWAI-100024,Gandhi Inc,Ahmedabad,Textile Manufacturing,Polyester Sludge,Chemical,581.19,Heavy Metals,9.09,1166.12,331.86,1091.08,221.16,4658.67,485.79,43.17,20.9,89.36,80.52,35.58,58.54,1616682.59,1.15,63.96,24.01,30.0,240.84,Green Roofing Sheets,High,Asian Paints Eco Division,Ludhiana,28.1,Medium,Moderately Recoverable,65.04,2024-07-22
RWAI-100025,Gade PLC,Coimbatore,Fabric Export Unit,Textile Dye Waste,Textile,2707.36,Oil Residue,8.27,478.21,329.3,4932.53,457.43,5654.23,486.49,49.53,27.37,82.03,64.62,94.34,44.35,835018.88,4.03,77.36,66.13,42.77,328.54,Automotive Soundproof Panels,Emerging,Adani Circular Infra,Mumbai,34.3,Medium,Moderately Recoverable,42.89,2025-05-02
RWAI-100026,"Sule, Sankar and Banik",Ludhiana,Fabric Export Unit,Denim Processing Sludge,Mixed,4864.5,High TDS,7.0,963.3,566.37,859.36,273.98,5038.81,200.03,28.43,46.22,52.87,46.07,33.5,30.6,2323098.57,7.62,87.83,37.66,42.34,420.35,Green Roofing Sheets,Medium,Adani Circular Infra,Panipat,33.1,High,Moderately Recoverable,76.71,2026-04-20
RWAI-100027,"Kala, Borah and Arya",Mumbai,Industrial Dyeing,Synthetic Yarn Waste,Polymer,6874.58,Oil Residue,8.41,1189.07,254.4,2583.56,185.48,3241.61,150.8,27.94,55.35,31.02,31.1,39.8,51.14,1448516.79,3.53,49.36,49.42,60.17,314.34,Industrial Absorbent Pads,High,RenewBuild India,Jaipur,13.4,High,Needs Advanced Treatment,30.94,2024-04-03
RWAI-100028,"Garg, Gera and Brahmbhatt",Panipat,Textile Manufacturing,Denim Processing Sludge,Textile,9220.05,Color Pigments,9.04,1196.53,234.75,1220.87,209.72,5121.29,51.09,10.04,51.56,84.25,88.61,26.7,40.72,2307745.77,6.88,47.14,32.65,69.48,292.04,Biodegradable Packaging,Very High,JSW Green Materials,Coimbatore,35.8,High,Moderately Recoverable,95.5,2023-06-26
RWAI-100029,Rajagopal-Khanna,Mumbai,Chemical Processing,Polyester Sludge,Organic,5248.53,Lead,6.61,459.58,291.44,1689.19,441.67,1035.33,369.08,55.0,27.93,51.46,56.91,86.62,64.49,2402223.1,4.59,48.82,65.17,36.48,261.47,Sustainable Wall Tiles,Emerging,UltraTech EcoBuild,Indore,26.4,High,Moderately Recoverable,93.03,2023-08-09
RWAI-100030,"Deshpande, Sampath and Kumar",Ahmedabad,Industrial Dyeing,Cotton Fiber Waste,Textile,907.24,Color Pigments,8.89,1083.6,517.38,6242.76,117.96,3537.34,311.56,64.59,47.53,61.77,67.64,91.7,20.71,1658073.98,5.36,53.8,15.54,77.91,415.98,Industrial Pigments,Medium,EcoPack India,Tiruppur,32.4,Medium,Moderately Recoverable,47.88,2025-06-19
RWAI-100031,Shan Inc,Mumbai,Garment Processing,Synthetic Yarn Waste,Organic,8902.39,Lead,5.78,1198.33,22.4,1233.38,239.19,4267.58,402.71,59.62,55.18,68.28,70.65,62.23,20.84,1528047.17,7.52,59.19,57.19,37.14,62.52,Green Roofing Sheets,Very High,Asian Paints Eco Division,Coimbatore,18.4,Low,Highly Recoverable,77.96,2023-06-08
RWAI-100032,Raja-Wable,Noida,Industrial Dyeing,Mixed Textile Waste,Organic,5418.57,Sulfide,5.57,725.62,369.0,3559.64,42.63,3729.55,237.85,58.09,57.11,38.77,30.32,46.76,26.61,1858953.2,1.31,85.46,67.75,97.57,364.8,Automotive Soundproof Panels,High,EcoPack India,Bhiwandi,15.9,Medium,Moderately Recoverable,40.27,2024-10-27
RWAI-100033,Kanda and Sons,Jaipur,Chemical Processing,Mixed Textile Waste,Chemical,534.47,Heavy Metals,5.81,878.58,567.34,3652.96,310.61,2006.37,317.68,45.14,58.64,75.41,78.96,28.41,9.59,371569.18,2.29,72.59,39.63,72.25,55.93,Sustainable Ceiling Panels,Very High,Mahindra Sustainable Solutions,Panipat,29.6,High,Highly Recoverable,87.43,2023-06-08
RWAI-100034,Balakrishnan-Krishna,Noida,Chemical Processing,Chemical Effluent,Leather,5881.38,Sulfide,8.39,508.78,562.84,1537.62,289.23,1181.58,231.58,67.19,39.71,63.0,56.65,50.27,71.81,2246630.87,2.49,69.16,44.07,41.77,221.51,Circular Fashion Fibers,Emerging,EcoPack India,Coimbatore,27.2,Low,Highly Recoverable,83.52,2025-06-13
RWAI-100035,Kibe-Dass,Indore,Fabric Export Unit,Mixed Textile Waste,Chemical,5199.77,Low Contamination,6.19,747.54,24.64,7205.08,379.4,5906.8,223.47,63.42,55.23,62.49,50.8,92.38,31.45,1862179.41,9.59,71.72,52.57,22.83,135.45,Recycled Plastic Lumber,Medium,Adani Circular Infra,Ludhiana,16.3,Medium,Needs Advanced Treatment,62.52,2025-10-29
RWAI-100036,Baral-Baral,Noida,Leather Processing,Polyester Sludge,Textile,6874.61,Lead,8.24,902.29,564.71,5533.95,353.0,1066.23,305.1,23.78,48.15,37.64,32.85,80.23,27.86,2499376.26,7.62,53.88,36.03,31.48,152.68,Sustainable Ceiling Panels,Emerging,Asian Paints Eco Division,Tiruppur,32.0,Low,Highly Recoverable,82.43,2024-01-03
RWAI-100037,Choudhry Inc,Ahmedabad,Fabric Export Unit,Mixed Textile Waste,Mixed,9840.98,Lead,8.25,303.27,173.73,1237.25,475.42,3665.08,100.91,29.48,38.01,84.0,85.39,59.45,11.37,517517.7,8.95,85.84,67.12,87.23,250.62,Recycled Plastic Lumber,Emerging,Birla Eco Materials,Ahmedabad,6.6,Low,Moderately Recoverable,46.33,2026-03-13
RWAI-100038,"Jani, Wagle and Ravi",Noida,Textile Manufacturing,Textile Dye Waste,Mixed,7630.33,Lead,5.55,274.38,357.91,6367.14,249.26,3739.31,197.01,22.45,33.69,64.46,62.33,70.5,24.4,709081.57,5.87,55.18,50.64,80.74,271.47,Sustainable Ceiling Panels,Medium,Adani Circular Infra,Bhiwandi,10.7,Medium,Low Recovery Potential,75.74,2023-09-22
RWAI-100039,"Chokshi, Sani and Tella",Ahmedabad,Synthetic Fiber Plant,Fabric Scraps,Textile,3222.84,Organic Contaminants,8.94,86.9,90.36,2440.3,196.39,1662.27,261.9,8.46,51.11,46.09,36.86,74.01,37.81,1463442.33,6.65,80.26,25.98,61.41,285.21,Recycled Fiber Boards,Medium,Adani Circular Infra,Tiruppur,17.2,Low,Highly Recoverable,57.97,2024-02-22
RWAI-100040,"Khosla, Bhat and Kamdar",Coimbatore,Industrial Dyeing,Polyester Sludge,Textile,5836.17,Lead,7.62,615.18,548.52,3995.12,333.67,2628.58,70.63,53.01,46.54,44.47,39.2,91.77,40.64,434573.35,5.22,52.83,10.24,52.03,362.77,Eco Concrete Additives,High,Asian Paints Eco Division,Mumbai,31.1,Low,Low Recovery Potential,82.77,2026-02-28
RWAI-100041,Shetty LLC,Kanpur,Garment Processing,Textile Dye Waste,Chemical,3642.14,Microplastics,7.54,1153.9,223.65,4186.38,420.43,913.66,7.97,23.14,45.26,53.6,59.53,84.1,42.76,494112.05,6.83,81.41,18.98,61.52,132.14,Eco Paver Blocks,Medium,Birla Eco Materials,Kanpur,3.6,Medium,Highly Recoverable,34.27,2024-03-22
RWAI-100042,Borah LLC,Indore,Textile Manufacturing,Chemical Effluent,Polymer,6101.98,Low Contamination,8.03,591.33,226.99,1931.81,321.43,3827.01,385.66,3.94,59.82,69.31,79.51,40.46,22.08,111867.4,2.45,91.69,67.6,23.18,478.52,Circular Fashion Fibers,Emerging,Birla Eco Materials,Jaipur,15.6,Medium,Highly Recoverable,78.78,2023-11-09
RWAI-100043,Dhingra-Bhatti,Ludhiana,Textile Manufacturing,Denim Processing Sludge,Mixed,210.3,Organic Contaminants,9.11,445.27,437.48,2722.74,302.75,1271.02,53.65,16.37,24.69,87.52,68.12,47.96,49.21,2320069.61,9.82,80.39,36.91,93.27,119.37,Eco Furniture Boards,Very High,Greenply Industries,Coimbatore,31.9,High,Moderately Recoverable,55.41,2025-12-02
RWAI-100044,"Venkatesh, Jain and Seshadri",Panipat,Leather Processing,Plastic Laminate Waste,Leather,3774.02,Lead,4.86,871.23,534.83,3721.06,378.45,1977.37,169.79,7.47,28.36,74.8,60.22,73.36,40.14,91454.6,5.82,62.44,51.76,46.29,451.89,Compressed Construction Blocks,Medium,Mahindra Sustainable Solutions,Ahmedabad,32.9,Low,Low Recovery Potential,36.41,2023-08-14
RWAI-100045,"Buch, Gandhi and Raju",Panipat,Garment Processing,Mixed Textile Waste,Textile,412.58,Microplastics,5.87,294.91,579.04,7729.22,249.19,2544.99,307.48,16.31,39.39,65.31,71.66,65.07,57.37,2261409.2,5.22,89.52,61.28,44.98,441.17,Sustainable Wall Tiles,Very High,Godrej Interio Eco,Surat,19.7,Medium,Low Recovery Potential,42.7,2024-03-08
RWAI-100046,"Mahajan, Sidhu and Raju",Indore,Leather Processing,Polyester Sludge,Leather,6756.86,Oil Residue,4.52,773.67,508.45,3546.08,323.06,3516.08,62.15,60.11,42.26,31.36,34.28,24.23,20.53,1074338.24,4.54,67.34,37.69,29.42,379.16,Acoustic Insulation Panels,Very High,EcoPack India,Surat,30.3,Low,Highly Recoverable,45.49,2024-03-23
RWAI-100047,"Kaur, Barman and Maharaj",Ahmedabad,Fabric Export Unit,Textile Dye Waste,Mixed,2477.24,Lead,6.71,230.77,317.24,7655.81,457.84,4044.1,56.87,22.98,53.93,61.45,56.7,81.49,18.92,2319415.47,2.48,68.45,45.58,51.65,93.41,Recycled Plastic Lumber,High,EcoPack India,Coimbatore,32.5,High,Highly Recoverable,63.93,2025-04-07
RWAI-100048,"Sarma, Bhatti and Bobal",Indore,Leather Processing,Polyester Sludge,Chemical,3098.9,Organic Contaminants,4.97,499.98,334.7,2140.59,155.01,5464.89,46.6,37.86,58.26,71.17,80.73,43.79,42.27,93566.54,3.19,93.43,71.21,54.88,72.16,Acoustic Insulation Panels,Medium,Asian Paints Eco Division,Bhiwandi,7.2,High,Moderately Recoverable,79.7,2023-05-26
RWAI-100049,Chaudry and Sons,Ludhiana,Industrial Dyeing,Printing Dye Residue,Mixed,3540.16,Lead,5.91,707.74,404.75,3324.64,435.11,1292.57,311.36,31.8,35.23,66.62,54.48,32.9,40.76,2023053.0,1.62,53.57,48.69,39.24,156.0,Acoustic Insulation Panels,Emerging,JSW Green Materials,Tiruppur,34.6,Low,Needs Advanced Treatment,78.48,2023-05-23
RWAI-100050,Balay LLC,Panipat,Garment Processing,Fabric Scraps,Organic,376.31,Low Contamination,9.03,268.45,15.27,2259.61,218.72,2171.84,389.15,15.97,43.21,96.09,76.6,47.94,53.89,1109214.34,5.94,53.69,48.16,69.4,316.32,Sustainable Wall Tiles,Emerging,Tata Sustainable Materials,Bhiwandi,18.2,Low,Moderately Recoverable,79.25,2025-08-10
RWAI-100051,"Sani, Walia and Konda",Mumbai,Textile Manufacturing,Chemical Effluent,Mixed,8670.2,Lead,5.77,154.84,470.04,6686.18,75.14,1415.09,377.3,51.97,55.4,27.36,21.06,44.82,30.33,1706720.98,4.06,92.66,19.95,70.65,462.6,Eco Paver Blocks,High,JSW Green Materials,Ludhiana,15.2,Low,Low Recovery Potential,52.55,2024-06-28
RWAI-100052,Borra PLC,Tiruppur,Industrial Dyeing,Industrial Wastewater,Organic,5994.89,Color Pigments,8.63,518.55,65.58,7595.77,459.54,2650.92,355.65,34.98,26.8,51.69,55.4,95.7,44.04,631799.05,1.87,95.1,76.69,86.19,485.51,Recycled Plastic Lumber,High,Birla Eco Materials,Coimbatore,8.1,Low,Low Recovery Potential,68.31,2025-05-20
RWAI-100053,Chauhan and Sons,Coimbatore,Synthetic Fiber Plant,Mixed Textile Waste,Polymer,4085.15,Chromium,6.39,1032.05,182.25,544.97,194.93,5694.92,105.83,36.14,27.27,75.2,85.58,52.54,72.1,1894715.04,2.79,73.4,44.1,98.39,225.87,Recycled Plastic Lumber,Emerging,Greenply Industries,Indore,23.4,High,Highly Recoverable,88.18,2026-04-29
RWAI-100054,Madan-Bandi,Bhiwandi,Synthetic Fiber Plant,Chemical Effluent,Chemical,674.81,Organic Contaminants,8.07,176.44,264.28,4795.6,254.48,2473.7,341.55,39.18,30.64,85.48,67.03,85.4,37.13,2411857.57,1.67,93.08,77.88,32.56,37.57,Sustainable Wall Tiles,Medium,Mahindra Sustainable Solutions,Panipat,10.0,High,Low Recovery Potential,36.91,2025-12-04
RWAI-100055,"Malhotra, Dugar and Saha",Noida,Fabric Export Unit,Chemical Effluent,Mixed,2904.83,Oil Residue,7.01,309.69,361.19,7408.04,498.1,655.25,231.76,11.0,29.64,66.69,69.66,53.98,40.13,2030474.85,5.22,70.44,42.87,87.59,343.99,Industrial Pigments,Emerging,JSW Green Materials,Mumbai,31.4,Medium,Moderately Recoverable,78.23,2025-07-22
RWAI-100056,Chakraborty LLC,Bhiwandi,Leather Processing,Synthetic Yarn Waste,Mixed,1891.41,Lead,7.73,756.46,465.13,5886.56,347.0,2600.69,244.1,25.49,31.25,69.43,63.73,89.77,43.79,1217813.37,7.55,51.37,57.49,23.51,193.73,Thermal Insulation Mats,Medium,Reliance Circular Ventures,Jaipur,16.7,Medium,Moderately Recoverable,39.03,2025-09-30
RWAI-100057,"Balan, Kari and Sarin",Surat,Fabric Export Unit,Mixed Textile Waste,Organic,8947.58,Organic Contaminants,7.02,1055.52,548.8,288.78,355.3,973.0,368.22,60.95,20.1,75.49,78.41,66.26,26.03,1279195.72,1.32,59.75,47.85,57.66,314.3,Low-Cost Modular Panels,Very High,Asian Paints Eco Division,Kanpur,18.7,Medium,Low Recovery Potential,69.14,2023-11-17
RWAI-100058,Kaul and Sons,Panipat,Textile Manufacturing,Synthetic Yarn Waste,Organic,3985.94,Lead,8.24,1133.58,500.15,6989.54,30.54,5954.51,280.89,10.09,23.59,25.49,23.43,74.43,21.02,2206322.78,1.65,70.32,67.49,65.95,279.0,Industrial Absorbent Pads,Very High,Reliance Circular Ventures,Mumbai,26.5,Low,Needs Advanced Treatment,35.96,2024-02-29
RWAI-100059,"Ramaswamy, Arya and Jani",Ludhiana,Leather Processing,Leather Processing Waste,Organic,9599.64,Microplastics,7.77,1112.31,64.86,1504.21,332.91,4064.15,283.23,64.64,25.86,56.06,46.89,61.51,12.7,2453834.54,1.38,84.47,23.87,37.69,129.57,Recycled Plastic Lumber,High,Tata Sustainable Materials,Jaipur,14.3,Low,Low Recovery Potential,30.08,2024-11-27
RWAI-100060,Kalita-Dayal,Ludhiana,Industrial Dyeing,Industrial Wastewater,Polymer,5118.08,Oil Residue,7.53,692.73,505.64,4368.82,192.94,2560.57,378.11,5.0,33.47,56.93,52.01,59.2,37.19,622025.22,6.42,92.14,62.78,48.68,107.46,Automotive Soundproof Panels,Emerging,Birla Eco Materials,Coimbatore,29.9,Low,Low Recovery Potential,64.53,2026-03-18
RWAI-100061,"Kibe, Bawa and Ravi",Jaipur,Synthetic Fiber Plant,Cotton Fiber Waste,Leather,422.94,Lead,6.45,95.62,227.49,3755.5,249.71,2389.78,13.12,56.08,39.04,57.91,47.82,26.07,11.92,1716731.96,3.21,59.76,80.64,55.94,121.69,Industrial Absorbent Pads,High,EcoPack India,Mumbai,21.4,Low,Highly Recoverable,89.05,2024-02-02
RWAI-100062,Bhattacharyya and Sons,Panipat,Industrial Dyeing,Textile Dye Waste,Leather,947.33,Lead,8.0,982.44,138.33,5404.52,107.28,5239.41,310.0,34.59,32.81,48.91,40.42,28.08,38.53,859842.2,5.93,58.66,79.72,35.57,171.77,Compressed Construction Blocks,High,Godrej Interio Eco,Noida,5.9,Medium,Needs Advanced Treatment,59.54,2026-03-07
RWAI-100063,"Randhawa, Shankar and Aurora",Noida,Industrial Dyeing,Textile Dye Waste,Leather,4611.96,Oil Residue,6.95,104.33,256.55,2779.11,126.21,5441.28,219.71,17.92,36.23,27.38,30.94,69.61,57.16,2193516.04,6.72,81.73,35.47,54.17,417.56,Industrial Pigments,High,JSW Green Materials,Indore,33.2,High,Low Recovery Potential,59.18,2024-04-12
RWAI-100064,"Roy, Rana and Khosla",Tiruppur,Textile Manufacturing,Polyester Sludge,Textile,8164.27,Oil Residue,8.44,1042.79,259.69,3044.64,183.68,5989.34,51.24,4.6,56.31,52.22,54.55,95.31,66.24,1848140.38,6.97,43.93,29.29,85.65,110.55,Recycled Plastic Lumber,Emerging,Godrej Interio Eco,Noida,5.4,Medium,Low Recovery Potential,97.88,2024-01-03
RWAI-100065,Bajwa-Mand,Coimbatore,Chemical Processing,Mixed Textile Waste,Mixed,4123.34,Chromium,7.41,1139.51,518.84,6665.89,268.2,1651.2,217.41,69.93,34.15,48.93,47.97,72.1,64.85,1171106.05,1.44,62.98,61.86,55.88,315.22,Eco Packaging Sheets,Medium,Mahindra Sustainable Solutions,Ahmedabad,27.9,Low,Moderately Recoverable,78.93,2024-09-25
