batch_id,factory_name,city,waste_type,material_category,quantity_kg,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,estimated_market_value_inr,recommended_product,recommended_buyer,upload_date
RW-10027,Wise LLC,Ahmedabad,Industrial Wastewater,Polymer,451.19,Microplastics,6.47,888.93,290.5,4194.32,224.28,3737.82,129.27,38.41,47.67,70.76,66.48,48.74,19.4,419496.03,Eco Packaging,UrbanEco Materials,2026-01-28
RW-10028,Wallace-Holden,Kanpur,Industrial Wastewater,Mixed,2110.18,High TDS,5.11,409.44,196.9,702.62,24.02,2406.08,162.71,29.43,51.46,74.85,78.43,86.79,40.74,486816.25,Insulation Boards,RenewLoop Manufacturing,2025-01-11
RW-10029,Vaughn LLC,Ahmedabad,Synthetic Fiber Residue,Organic,4123.9,Low Contamination,5.04,165.17,224.38,745.66,50.85,1108.66,63.87,24.92,25.55,42.39,35.77,29.58,46.72,304674.72,Industrial Pigments,RenewLoop Manufacturing,2025-08-02
RW-10030,Oconnor-Wright,Ahmedabad,Cotton Wastewater,Polymer,4262.67,Oil Residue,8.19,134.26,26.11,1355.91,256.25,2045.41,168.51,1.59,43.79,30.62,30.47,57.94,42.28,176794.43,Industrial Pigments,GreenBuild Industries,2024-07-15
RW-10031,"Reese, Johnson and Johnson",Coimbatore,Fabric Scraps,Textile,4807.09,Oil Residue,5.52,701.71,100.25,1733.8,184.59,1881.3,162.22,59.23,20.94,40.96,32.23,46.85,17.98,79887.34,Industrial Pigments,CircularTex Pvt Ltd,2025-11-13
RW-10032,"Jones, Thomas and Michael",Mumbai,Synthetic Fiber Residue,Mixed,1879.97,Sulfide,5.19,139.36,107.98,2475.65,111.24,2545.64,179.54,54.0,26.02,91.23,75.68,56.62,17.05,17668.43,Industrial Pigments,SustainFab Industries,2024-05-28
RW-10033,Brown Group,Tiruppur,Dye Residue,Chemical,193.27,Heavy Metals,6.73,574.66,55.98,325.85,40.86,3156.95,11.06,52.64,47.58,77.53,60.72,88.48,18.82,268086.95,Acoustic Panels,UrbanEco Materials,2025-11-28
RW-10034,Beard-Larson,Mumbai,Synthetic Fiber Residue,Polymer,1872.02,Chromium,8.82,112.22,376.59,4263.65,238.29,3287.54,77.71,32.05,30.14,95.63,78.95,88.26,29.65,201230.68,Acoustic Panels,CircularTex Pvt Ltd,2024-06-05
RW-10035,"Murphy, White and Carlson",Ludhiana,Polyester Fiber Scrap,Mixed,3855.91,Lead,5.61,737.35,377.07,2635.48,10.82,258.19,130.64,14.15,51.24,38.86,32.54,49.89,20.01,48004.96,Eco Bricks,SustainFab Industries,2026-01-31
RW-10036,Robinson Group,Kanpur,Chemical Effluent,Textile,1642.37,Microplastics,6.18,331.53,264.53,4646.71,51.64,1996.91,62.29,57.38,25.59,31.3,27.59,47.54,31.89,194354.37,Recycled Fiber Sheets,CircularTex Pvt Ltd,2025-08-31
RW-10037,Ross-Allen,Ahmedabad,Polyester Fiber Scrap,Mixed,1113.83,Organic Contaminants,8.91,198.73,390.02,3797.27,11.03,1670.62,90.91,31.77,35.86,96.31,72.06,87.99,27.5,112551.53,Eco Bricks,SustainFab Industries,2026-01-02
RW-10038,Cooper Group,Ludhiana,Industrial Wastewater,Mixed,3248.76,Lead,5.9,637.75,214.62,1768.14,200.39,260.63,26.68,43.44,35.65,96.81,90.0,21.31,26.31,31878.86,Insulation Boards,CircularTex Pvt Ltd,2025-01-17
RW-10039,Stone Group,Coimbatore,Fabric Scraps,Chemical,4423.68,Lead,5.9,98.48,308.25,2984.09,133.36,204.22,124.04,7.52,52.66,63.04,54.61,37.28,55.39,451966.14,Industrial Pigments,RenewLoop Manufacturing,2025-10-14
RW-10040,"Gallegos, Nichols and Santos",Mumbai,Fabric Scraps,Mixed,700.41,Microplastics,5.04,380.12,70.73,3485.8,181.16,3948.24,86.92,22.06,54.57,58.47,51.31,77.22,46.37,65443.83,Insulation Boards,CircularTex Pvt Ltd,2024-08-20
RW-10041,"Rivera, Waters and Morse",Kanpur,Fabric Scraps,Polymer,1884.53,Heavy Metals,6.88,658.23,98.03,1193.1,222.47,3717.24,133.23,12.5,45.22,75.28,71.29,64.27,25.92,196673.01,Acoustic Panels,RenewLoop Manufacturing,2024-06-02
RW-10042,Brown Group,Mumbai,Mixed Textile Waste,Polymer,2360.14,Color Pigments,7.91,644.25,249.34,4296.04,191.74,1473.34,165.6,26.84,50.59,75.73,69.77,58.06,52.12,432572.47,Industrial Pigments,SustainFab Industries,2025-11-02
RW-10043,"Farley, Holland and Moreno",Tiruppur,Cotton Wastewater,Textile,2539.21,Organic Contaminants,8.14,535.34,398.26,2651.54,151.44,3438.43,148.3,35.56,45.1,21.34,18.63,25.56,14.74,357401.0,Insulation Boards,GreenBuild Industries,2024-07-17
RW-10044,"Schwartz, Ramos and Cruz",Jaipur,Textile Dye Waste,Textile,4234.03,Lead,5.26,169.56,162.14,3767.93,61.32,2745.77,123.6,32.18,33.65,71.66,59.12,43.16,7.18,323599.42,Industrial Pigments,SustainFab Industries,2025-02-17
RW-10045,Mosley-Howard,Coimbatore,Industrial Wastewater,Chemical,4583.99,Low Contamination,8.23,821.89,288.36,819.44,6.82,303.11,121.22,57.33,22.45,93.78,86.58,77.91,23.99,170149.53,Eco Packaging,RenewLoop Manufacturing,2025-12-09
RW-10046,Dean-Johnson,Surat,Sludge,Organic,4357.18,Organic Contaminants,5.9,824.15,46.35,2143.31,30.29,515.24,86.75,8.14,43.23,84.1,59.16,47.87,35.03,362139.58,Eco Bricks,CircularTex Pvt Ltd,2025-08-17
RW-10047,Garza PLC,Tiruppur,Synthetic Fiber Residue,Polymer,222.74,Oil Residue,6.3,179.95,359.47,2226.5,221.76,1454.72,198.23,5.99,49.43,52.96,46.31,24.15,21.16,418503.73,Eco Packaging,SustainFab Industries,2025-05-27
RW-10048,"Lee, Williamson and Caldwell",Coimbatore,Dye Residue,Chemical,177.98,Low Contamination,7.08,658.19,56.25,510.06,208.56,1524.48,190.55,2.88,24.65,78.6,62.26,66.15,19.61,238356.05,Recycled Fiber Sheets,GreenBuild Industries,2026-01-27
RW-10049,Robertson Inc,Mumbai,Textile Dye Waste,Polymer,3357.88,Organic Contaminants,4.57,713.15,234.77,1279.66,53.1,3131.99,146.97,59.41,32.61,41.06,34.69,66.55,8.54,200864.51,Eco Packaging,CircularTex Pvt Ltd,2024-11-11
RW-10050,"Lee, Webb and Mills",Kanpur,Chemical Effluent,Chemical,3090.55,Oil Residue,7.75,566.64,291.75,584.25,26.9,603.82,27.79,26.24,48.55,91.35,68.89,23.42,30.7,350710.08,Eco Bricks,CircularTex Pvt Ltd,2024-09-04
RW-10051,Cowan PLC,Kanpur,Sludge,Polymer,2309.74,Oil Residue,4.65,532.73,84.84,4609.49,130.43,2952.46,10.31,41.29,38.14,54.75,39.71,45.41,36.19,131500.64,Insulation Boards,SustainFab Industries,2025-03-09
RW-10052,"Alvarez, Cooke and Taylor",Ahmedabad,Industrial Wastewater,Chemical,1460.49,Heavy Metals,7.01,63.98,60.74,3638.64,281.87,2012.22,160.34,13.44,20.04,27.33,28.63,27.02,20.99,480113.53,Eco Packaging,UrbanEco Materials,2024-07-29
RW-10053,"Perkins, Wilson and Mejia",Surat,Sludge,Mixed,4407.26,Lead,5.76,739.2,131.08,4442.12,170.27,2850.5,96.35,50.73,32.56,82.47,72.33,48.51,49.58,40471.58,Acoustic Panels,CircularTex Pvt Ltd,2024-09-01
RW-10054,"Lopez, Norman and Berry",Tiruppur,Chemical Effluent,Mixed,711.2,Sulfide,4.73,363.7,183.28,3733.83,277.41,1464.05,177.75,30.16,34.74,43.58,34.46,60.54,49.46,420224.5,Eco Packaging,UrbanEco Materials,2025-06-07
RW-10055,Hill PLC,Ahmedabad,Cotton Wastewater,Chemical,1360.49,Organic Contaminants,5.87,221.53,111.68,2814.52,254.18,1253.69,53.99,45.64,46.97,60.55,46.04,58.34,39.8,43018.43,Industrial Pigments,SustainFab Industries,2025-02-06
RW-10056,Davis Ltd,Surat,Mixed Textile Waste,Chemical,229.36,Oil Residue,5.63,288.26,193.43,3486.31,121.97,1947.49,135.92,47.98,34.96,96.51,90.75,92.94,34.52,245618.56,Eco Packaging,GreenBuild Industries,2026-04-11
RW-10057,"Hernandez, Moore and Allen",Mumbai,Synthetic Fiber Residue,Polymer,2288.64,Sulfide,8.49,518.01,271.94,4254.08,277.69,425.23,117.94,6.37,49.33,79.82,81.19,80.38,37.61,125285.83,Acoustic Panels,RenewLoop Manufacturing,2025-05-20
RW-10058,"Nguyen, Sharp and Thomas",Jaipur,Fabric Scraps,Polymer,1132.88,Color Pigments,7.05,572.62,353.25,2057.59,150.89,622.04,136.09,47.71,23.18,46.11,44.22,51.87,29.14,458659.9,Recycled Fiber Sheets,GreenBuild Industries,2026-04-05
RW-10059,Duke Inc,Ludhiana,Fabric Scraps,Polymer,651.55,Lead,4.76,605.41,186.3,2669.75,116.5,3728.26,145.23,6.38,40.86,35.31,31.93,42.99,10.29,185047.68,Eco Bricks,CircularTex Pvt Ltd,2026-05-04
RW-10060,Bullock PLC,Ahmedabad,Textile Dye Waste,Polymer,3101.78,Heavy Metals,4.53,734.49,15.62,4333.85,70.53,1867.34,127.88,20.83,31.88,79.29,60.95,74.01,52.8,132967.33,Eco Bricks,GreenBuild Industries,2025-11-14
RW-10061,Newton LLC,Coimbatore,Textile Dye Waste,Chemical,4834.01,Color Pigments,5.58,446.78,308.29,375.32,90.29,344.74,58.27,10.41,45.13,48.49,38.17,63.42,11.92,328035.07,Eco Bricks,RenewLoop Manufacturing,2024-09-04
RW-10062,Cain-Harrington,Jaipur,Mixed Textile Waste,Polymer,3956.31,Organic Contaminants,7.15,607.47,151.29,4294.57,236.74,655.63,192.54,58.45,46.76,68.06,71.28,61.31,23.69,190189.53,Acoustic Panels,RenewLoop Manufacturing,2025-02-06
RW-10063,Vasquez LLC,Coimbatore,Dye Residue,Mixed,4591.51,Color Pigments,4.62,805.73,358.6,3753.69,48.14,3590.91,115.26,56.95,22.25,50.76,50.9,62.21,9.0,391196.3,Industrial Pigments,RenewLoop Manufacturing,2025-03-27
RW-10064,Horton-Elliott,Coimbatore,Industrial Wastewater,Polymer,4282.45,Sulfide,4.7,250.04,314.43,3240.55,115.48,286.55,25.22,30.54,46.28,38.73,41.22,91.54,55.72,182000.27,Acoustic Panels,GreenBuild Industries,2025-07-25
RW-10065,Nguyen PLC,Ahmedabad,Dye Residue,Chemical,4057.17,Low Contamination,8.37,799.87,208.93,3122.83,157.39,1187.2,64.29,30.89,52.63,93.93,81.53,61.22,15.9,46283.25,Eco Packaging,CircularTex Pvt Ltd,2025-10-29
RW-10066,Miller-Mann,Coimbatore,Chemical Effluent,Organic,2223.78,Organic Contaminants,5.6,773.41,15.36,3983.58,159.9,592.6,119.41,50.74,24.71,24.51,23.34,78.76,46.49,201933.06,Insulation Boards,RenewLoop Manufacturing,2024-12-12
RW-10067,Mosley-Jackson,Ahmedabad,Sludge,Chemical,1049.52,Heavy Metals,8.33,755.87,42.81,1644.74,273.7,802.83,16.08,59.71,33.59,88.28,91.37,55.54,56.28,406301.23,Eco Bricks,CircularTex Pvt Ltd,2025-08-30
RW-10068,Kim Group,Coimbatore,Fabric Scraps,Chemical,3203.31,Organic Contaminants,8.18,887.53,351.58,528.35,71.52,1354.15,118.43,48.36,38.49,33.11,35.56,32.2,25.3,328821.45,Industrial Pigments,CircularTex Pvt Ltd,2024-05-29
RW-10069,"Hernandez, Hernandez and Alexander",Mumbai,Fabric Scraps,Textile,1204.79,Sulfide,4.87,838.1,58.42,3620.69,152.62,3276.34,33.31,38.88,49.26,74.81,73.87,70.83,26.04,393573.29,Recycled Fiber Sheets,RenewLoop Manufacturing,2026-04-21
RW-10070,Case LLC,Ahmedabad,Polyester Fiber Scrap,Organic,2315.37,Chromium,8.31,231.76,272.88,4533.77,145.27,3861.26,74.79,20.48,41.0,80.73,56.55,51.8,21.53,286593.56,Acoustic Panels,CircularTex Pvt Ltd,2024-05-26
RW-10071,"Orozco, Russell and Estrada",Mumbai,Cotton Wastewater,Organic,2265.29,Low Contamination,8.84,569.42,337.89,984.26,47.9,3095.22,63.23,8.85,52.19,62.5,57.09,89.55,30.56,413164.94,Acoustic Panels,EcoPack Solutions,2025-03-04
RW-10072,Roberts-Kaufman,Surat,Synthetic Fiber Residue,Polymer,4278.78,Organic Contaminants,7.68,86.39,115.87,739.51,53.97,1705.65,119.74,58.92,50.86,80.39,82.94,94.33,24.48,163783.31,Recycled Fiber Sheets,EcoPack Solutions,2025-07-15
RW-10073,Ross and Sons,Ludhiana,Chemical Effluent,Textile,2402.4,Heavy Metals,7.25,65.97,46.92,395.28,113.62,1894.46,117.43,6.41,52.67,44.98,43.07,34.01,38.33,463873.02,Industrial Pigments,EcoPack Solutions,2025-11-01
RW-10074,Glass-Ho,Ludhiana,Industrial Wastewater,Mixed,1970.06,Oil Residue,7.16,449.84,238.05,2056.2,228.06,3065.68,83.17,36.21,22.43,52.32,39.32,45.9,21.49,109719.4,Acoustic Panels,GreenBuild Industries,2025-04-04
RW-10075,Davies Group,Kanpur,Industrial Wastewater,Organic,3772.19,Sulfide,5.45,102.14,290.3,835.65,191.5,3400.35,31.11,1.15,30.05,45.26,36.4,59.53,5.98,343769.88,Industrial Pigments,RenewLoop Manufacturing,2024-08-11
RW-10076,Humphrey Inc,Ludhiana,Cotton Wastewater,Mixed,3009.33,Oil Residue,8.65,530.56,162.39,1309.59,93.03,467.76,186.52,16.93,34.18,54.33,40.24,65.35,6.45,140308.19,Industrial Pigments,RenewLoop Manufacturing,2025-12-10
RW-10077,Fields and Sons,Jaipur,Cotton Wastewater,Textile,2643.51,Sulfide,7.43,321.92,299.77,2137.11,208.05,2264.98,46.89,19.75,41.55,48.25,38.64,21.63,42.38,296244.92,Acoustic Panels,CircularTex Pvt Ltd,2026-04-28
RW-10078,Johnson LLC,Surat,Chemical Effluent,Textile,4705.93,Chromium,4.92,806.45,290.84,4148.07,59.38,1246.5,111.56,38.83,40.72,95.8,67.68,59.11,33.98,176107.93,Recycled Fiber Sheets,RenewLoop Manufacturing,2025-06-17
RW-10079,Cross-Robinson,Kanpur,Cotton Wastewater,Organic,1064.83,Organic Contaminants,7.32,681.27,61.56,3986.1,139.01,346.66,166.0,13.88,29.5,79.33,64.5,74.76,25.0,253090.94,Acoustic Panels,CircularTex Pvt Ltd,2024-10-22
RW-10080,Chapman Ltd,Kanpur,Mixed Textile Waste,Textile,3125.56,Organic Contaminants,6.76,288.95,53.86,1467.56,82.6,3111.93,66.14,56.6,32.43,83.88,92.07,32.74,47.98,127814.35,Eco Bricks,RenewLoop Manufacturing,2024-08-06
RW-10081,Pittman-Giles,Tiruppur,Industrial Wastewater,Textile,4954.74,Microplastics,5.62,567.84,41.33,698.65,252.4,3020.61,11.61,25.14,40.42,74.38,68.08,92.65,32.74,163498.58,Recycled Fiber Sheets,RenewLoop Manufacturing,2025-04-23
RW-10082,Cook-Murray,Surat,Synthetic Fiber Residue,Polymer,1876.63,Organic Contaminants,6.8,219.42,245.82,4908.0,42.22,2767.18,118.2,54.29,50.46,87.34,65.36,32.08,9.36,376533.22,Acoustic Panels,RenewLoop Manufacturing,2024-09-18
RW-10083,Wilson and Sons,Coimbatore,Textile Dye Waste,Chemical,1198.93,Chromium,5.38,218.88,311.04,698.7,166.65,2263.59,8.61,46.07,39.89,54.13,39.18,31.72,48.4,109293.72,Eco Bricks,RenewLoop Manufacturing,2024-11-04
RW-10084,Hall-Brown,Jaipur,Chemical Effluent,Textile,4413.5,Color Pigments,4.89,729.56,389.69,4551.98,264.88,1626.58,106.07,45.72,38.44,72.03,74.61,45.2,22.52,259437.45,Eco Packaging,SustainFab Industries,2024-08-19
RW-10085,Brock-Aguilar,Kanpur,Synthetic Fiber Residue,Textile,4676.69,High TDS,8.34,239.58,374.75,4474.63,15.99,3592.78,108.9,44.56,53.46,92.93,89.78,27.96,55.11,108512.02,Insulation Boards,UrbanEco Materials,2026-05-06
RW-10086,"Mitchell, Andrade and Ramirez",Coimbatore,Synthetic Fiber Residue,Chemical,3044.79,Microplastics,5.07,240.8,155.15,458.35,227.4,3544.13,11.53,58.38,48.31,87.42,94.1,53.24,33.45,140340.07,Eco Packaging,EcoPack Solutions,2024-11-01
RW-10087,Williamson-Garner,Ludhiana,Dye Residue,Mixed,1223.15,Heavy Metals,4.65,626.66,255.65,4651.2,238.94,1307.56,159.65,14.45,47.42,25.92,18.9,32.02,48.82,201503.33,Eco Bricks,EcoPack Solutions,2024-11-04
RW-10088,Foster-Anderson,Mumbai,Mixed Textile Waste,Textile,2786.95,High TDS,7.42,99.4,15.16,3975.81,112.7,3461.96,74.28,33.6,27.37,87.06,76.87,26.09,18.74,128924.72,Insulation Boards,SustainFab Industries,2025-04-25
RW-10089,"Gomez, James and Herrera",Ludhiana,Mixed Textile Waste,Chemical,1840.74,Oil Residue,4.91,76.2,277.0,4508.39,124.16,200.37,30.93,35.63,36.61,92.36,90.94,28.92,12.69,331269.23,Insulation Boards,EcoPack Solutions,2025-07-09
RW-10090,Soto-Montoya,Tiruppur,Chemical Effluent,Polymer,828.62,High TDS,4.93,833.38,31.8,221.71,183.23,1463.39,103.32,48.14,41.13,42.04,40.47,55.46,9.23,282817.47,Insulation Boards,RenewLoop Manufacturing,2025-09-12
RW-10091,Christian-Baker,Mumbai,Polyester Fiber Scrap,Mixed,3805.01,Organic Contaminants,8.08,426.79,49.28,1258.64,93.9,952.54,41.53,43.61,44.18,24.33,21.88,53.3,9.08,15782.17,Recycled Fiber Sheets,UrbanEco Materials,2025-12-30
RW-10092,Hodge-Miller,Coimbatore,Dye Residue,Chemical,3657.53,Low Contamination,6.32,763.64,141.63,4889.71,228.58,2278.08,122.5,23.27,48.68,59.24,46.7,32.21,7.24,459344.55,Recycled Fiber Sheets,GreenBuild Industries,2025-08-21
RW-10093,Brown-White,Kanpur,Sludge,Organic,1658.38,Low Contamination,5.66,780.59,328.08,4369.72,138.66,1521.75,128.62,31.97,43.45,52.53,49.17,66.09,40.93,423074.02,Industrial Pigments,EcoPack Solutions,2026-02-27
RW-10094,Sawyer-Gonzalez,Jaipur,Industrial Wastewater,Organic,1425.09,Organic Contaminants,5.01,301.79,348.33,641.78,135.86,3720.53,44.63,9.68,44.31,34.62,31.71,92.59,9.92,52645.22,Industrial Pigments,EcoPack Solutions,2026-03-23
RW-10095,Smith and Sons,Mumbai,Synthetic Fiber Residue,Textile,877.83,Lead,5.37,66.05,254.27,1144.72,17.81,2470.03,110.13,5.89,52.55,29.67,28.35,50.69,5.36,311706.46,Acoustic Panels,RenewLoop Manufacturing,2024-09-03
RW-10096,Neal LLC,Tiruppur,Polyester Fiber Scrap,Chemical,2172.59,Lead,6.12,896.34,109.49,2774.29,49.98,2761.94,99.49,27.34,49.61,22.64,17.68,28.46,41.3,374627.8,Eco Bricks,UrbanEco Materials,2024-05-24
RW-10097,"Sanders, Cox and Goodwin",Tiruppur,Mixed Textile Waste,Mixed,1225.29,Microplastics,8.17,511.51,329.46,1320.42,295.62,1721.44,119.3,47.22,37.96,74.2,69.98,53.21,29.57,25101.93,Recycled Fiber Sheets,EcoPack Solutions,2024-07-02
RW-10098,Mcclain PLC,Kanpur,Chemical Effluent,Mixed,932.97,Low Contamination,8.86,163.11,38.19,3543.1,24.35,830.58,107.6,33.36,27.05,46.41,48.83,82.36,19.65,196155.0,Eco Packaging,CircularTex Pvt Ltd,2024-11-27
RW-10099,Moran PLC,Ludhiana,Sludge,Organic,1153.04,Lead,7.94,196.51,368.95,3438.32,152.61,2254.24,59.91,58.48,32.07,50.16,39.73,30.35,7.0,177534.27,Acoustic Panels,UrbanEco Materials,2025-03-14
RW-10100,Mitchell-Garcia,Coimbatore,Sludge,Chemical,841.9,High TDS,8.87,145.93,351.33,2222.15,293.57,1959.3,50.51,26.85,49.59,20.25,15.55,39.02,29.6,291165.07,Insulation Boards,GreenBuild Industries,2025-10-15
