batch_id,factory_name,city,state,industry_type,waste_type,material_category,quantity_kg,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,contaminants,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
SEC-004-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,5619.48,7.45,1272.08,227.08,8567.23,393.1,7900.15,176.0,11.23,54.82,Heavy Metals,49.22,46.97,70.94,21.64,1.3,64.83,76.38,92.38,140.9,76.37,40.98,1783739.54,Eco Bricks,Emerging,JSW Green Materials,Medium,Moderately Recoverable,94.84,25.1,2025-01-04
SEC-004-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,1820.21,7.63,1167.5,294.49,3066.8,127.13,4518.19,309.53,38.94,29.61,Chromium,83.93,76.66,57.36,12.9,3.49,66.93,11.01,35.1,88.38,80.05,62.19,2590851.04,Eco Packaging Sheets,Medium,UltraTech EcoBuild,High,Highly Recoverable,90.57,12.6,2025-01-04
SEC-005-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,13368.07,8.1,1361.91,599.12,6314.51,424.09,5664.14,516.47,53.7,28.36,Heavy Metals,48.41,45.37,88.79,10.85,5.07,88.26,63.21,46.91,326.74,19.82,12.84,2554062.43,Thermal Insulation Boards,Emerging,JSW Green Materials,High,Low Recovery Potential,62.3,17.7,2025-01-05
SEC-005-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,7057.02,6.99,717.2,107.35,4387.26,591.09,1371.24,273.81,16.38,36.3,Low Contamination,54.99,59.23,28.6,29.21,5.44,60.05,60.26,79.27,6.46,85.74,53.87,195998.65,Compressed Construction Blocks,High,Reliance Circular Ventures,Low,Needs Advanced Treatment,60.3,15.9,2025-01-05
SEC-005-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,4851.22,5.47,304.77,105.97,7616.04,172.24,6858.81,303.18,44.43,53.19,Organic Contaminants,43.27,37.55,49.92,28.92,7.13,89.82,57.84,37.46,350.23,51.91,15.51,60085.67,Thermal Insulation Boards,Emerging,UltraTech EcoBuild,Low,Moderately Recoverable,65.91,8.4,2025-01-05
SEC-006-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,4215.79,5.85,972.99,86.9,8474.13,236.62,4151.45,79.48,34.97,26.55,Chromium,97.14,97.37,62.25,51.42,3.69,64.92,27.09,32.97,173.6,61.66,36.39,1842798.36,Eco Bricks,High,UltraTech EcoBuild,High,Needs Advanced Treatment,80.48,10.8,2025-01-06
SEC-006-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,14552.63,5.88,486.63,426.94,8856.71,259.07,5728.76,561.23,68.21,54.29,Heavy Metals,56.39,56.92,62.88,52.74,3.69,89.87,45.28,69.09,221.14,45.84,9.05,861004.22,Eco Packaging Sheets,Medium,Reliance Circular Ventures,High,Low Recovery Potential,44.44,14.7,2025-01-06
SEC-006-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,2821.32,5.83,752.55,387.04,2772.72,104.49,1956.27,450.29,27.79,54.28,Low Contamination,73.36,70.98,41.46,30.09,4.39,75.27,60.78,97.58,82.18,23.15,40.33,72285.79,Industrial Pigments,Medium,JSW Green Materials,Low,Highly Recoverable,79.82,4.4,2025-01-06
SEC-006-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Chemical,12472.37,7.16,492.56,356.18,6964.74,508.77,4366.69,108.7,54.51,52.87,Oil Residue,56.21,48.88,78.29,62.27,6.98,48.84,31.76,46.46,287.58,59.32,10.49,386721.96,Eco Packaging Sheets,Emerging,GreenBuild Gujarat,High,Highly Recoverable,51.2,29.1,2025-01-06
SEC-007-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,11610.5,6.26,744.35,389.84,2689.87,359.85,6181.25,409.46,59.79,41.46,Low Contamination,92.47,85.67,77.67,16.29,1.35,84.56,42.48,82.62,62.61,63.79,23.63,770735.63,Thermal Insulation Boards,Emerging,Reliance Circular Ventures,High,Highly Recoverable,97.51,14.0,2025-01-07
SEC-007-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,2662.26,7.9,726.98,175.75,1572.3,415.52,7635.63,84.28,54.52,28.89,Organic Contaminants,68.56,62.4,93.52,24.88,5.92,88.68,11.3,45.91,17.34,16.29,47.12,2750955.7,Industrial Pigments,High,GreenBuild Gujarat,Low,Moderately Recoverable,53.26,19.6,2025-01-07
SEC-007-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,12968.64,8.49,163.37,509.96,1244.2,590.8,3459.54,46.69,43.03,42.01,Oil Residue,61.09,49.15,81.68,33.17,8.87,67.06,78.21,88.21,362.27,96.82,30.38,3771955.0,Thermal Insulation Boards,Medium,EcoPack India,High,Moderately Recoverable,47.12,11.7,2025-01-07
SEC-008-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,11885.22,7.76,800.41,468.91,3289.96,357.79,2540.49,223.06,41.82,26.1,Oil Residue,81.23,74.54,42.42,18.51,4.15,87.72,53.14,46.08,17.74,43.36,49.75,1787693.53,Eco Bricks,Emerging,Reliance Circular Ventures,Medium,Highly Recoverable,43.34,12.4,2025-01-08
SEC-008-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Mixed,4231.06,6.82,1198.36,593.37,2817.94,182.71,6950.22,186.93,7.42,37.26,Heavy Metals,64.44,71.45,87.07,62.26,1.47,54.31,40.34,88.4,99.3,51.37,44.52,2333610.37,Eco Bricks,High,UltraTech EcoBuild,Medium,Moderately Recoverable,68.28,26.5,2025-01-08
SEC-008-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,11363.32,8.03,1267.97,185.15,6201.91,432.6,826.37,340.34,54.24,29.07,Chromium,66.53,56.82,29.34,19.75,5.46,94.29,17.2,79.29,336.52,94.8,39.59,762601.04,Compressed Construction Blocks,Emerging,JSW Green Materials,Low,Highly Recoverable,69.56,5.9,2025-01-08
SEC-009-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Chemical,4718.76,8.05,239.61,432.25,3018.19,575.43,4490.71,172.29,55.49,49.58,Heavy Metals,95.4,92.18,88.08,39.44,1.58,75.33,49.85,33.98,96.3,35.18,47.0,319019.27,Acoustic Insulation Panels,Very High,UltraTech EcoBuild,Medium,Highly Recoverable,54.34,20.0,2025-01-09
SEC-009-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,681.4,5.42,247.88,238.71,2108.72,248.11,1745.0,106.68,60.77,48.47,Oil Residue,91.7,90.63,80.63,35.5,6.18,95.94,15.93,76.51,81.82,20.06,44.71,1244422.99,Eco Bricks,Very High,UltraTech EcoBuild,Low,Needs Advanced Treatment,82.24,26.4,2025-01-09
SEC-009-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,11471.53,6.53,1397.77,224.68,4020.51,438.44,4039.23,545.06,46.44,44.26,Oil Residue,91.99,99.18,87.1,30.32,7.31,75.25,79.23,93.74,362.81,50.67,38.15,360478.04,Eco Bricks,Emerging,JSW Green Materials,High,Needs Advanced Treatment,78.58,10.3,2025-01-09
SEC-009-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,12546.91,7.63,750.77,305.35,8160.51,377.65,2815.54,505.94,28.56,44.02,Color Pigments,84.27,76.0,66.58,29.79,9.09,73.16,20.04,77.01,106.46,48.19,31.49,996100.87,Eco Packaging Sheets,High,UltraTech EcoBuild,Medium,Highly Recoverable,71.87,28.4,2025-01-09
SEC-009-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Polymer,1990.44,6.8,586.52,503.27,5442.2,202.98,3041.66,147.55,29.02,41.43,Oil Residue,83.46,78.22,45.29,27.77,4.96,66.35,34.33,68.9,204.81,43.67,60.67,1665999.73,Eco Packaging Sheets,Emerging,GreenBuild Gujarat,Medium,Needs Advanced Treatment,66.47,16.3,2025-01-09
SEC-010-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,12615.21,6.68,331.13,137.05,675.39,330.25,7038.93,47.17,26.58,25.51,Oil Residue,89.68,96.23,60.41,54.86,2.57,91.95,39.89,62.85,285.69,45.67,29.03,3872190.87,Acoustic Insulation Panels,Very High,UltraTech EcoBuild,High,Low Recovery Potential,55.43,24.9,2025-01-10
SEC-010-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,9214.98,7.38,1397.24,492.84,3839.89,168.3,3641.34,582.6,9.63,51.45,Organic Contaminants,57.62,60.54,77.39,36.88,8.6,49.48,35.99,58.65,125.0,92.46,23.44,1005813.98,Industrial Pigments,High,UltraTech EcoBuild,High,Moderately Recoverable,84.65,24.8,2025-01-10
SEC-010-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,10988.94,8.04,889.95,650.12,2043.29,583.82,1576.21,455.91,40.64,44.2,Organic Contaminants,49.6,49.01,27.5,60.29,4.93,94.41,16.16,44.78,235.19,31.46,57.5,3370345.5,Industrial Pigments,Medium,EcoPack India,High,Highly Recoverable,71.33,15.1,2025-01-10
SEC-010-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,3430.05,7.84,360.51,470.56,8055.6,614.43,5574.55,308.8,29.04,30.63,Heavy Metals,89.24,85.33,37.89,10.49,8.12,79.28,27.3,84.26,267.93,79.36,53.84,126288.24,Acoustic Insulation Panels,Medium,JSW Green Materials,High,Low Recovery Potential,38.36,16.7,2025-01-10
SEC-010-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,11546.69,8.26,1297.67,45.91,503.71,588.71,1716.25,377.15,11.02,42.23,Heavy Metals,40.38,45.17,29.28,22.12,7.29,53.05,48.89,86.68,390.02,61.76,17.6,3936660.1,Industrial Pigments,Very High,Reliance Circular Ventures,Medium,Needs Advanced Treatment,82.95,7.0,2025-01-10
SEC-011-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Mixed,12213.25,5.91,493.26,311.87,4875.08,234.18,6750.84,141.11,37.57,45.45,Organic Contaminants,54.7,51.0,69.91,62.66,6.38,59.47,34.6,95.45,37.16,40.47,25.43,1167572.31,Acoustic Insulation Panels,Medium,JSW Green Materials,High,Needs Advanced Treatment,43.27,26.0,2025-01-11
SEC-011-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Textile,9506.17,5.43,1012.4,672.23,8804.08,479.95,1541.34,558.36,61.79,54.01,Chromium,55.12,49.03,93.23,24.81,4.67,71.16,45.13,86.07,55.03,75.5,45.39,2124223.91,Compressed Construction Blocks,Emerging,JSW Green Materials,Medium,Needs Advanced Treatment,88.19,24.2,2025-01-11
SEC-012-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,13588.51,7.13,208.44,296.44,8566.77,292.44,1362.38,309.43,55.66,52.85,Heavy Metals,50.59,53.71,49.64,59.74,3.59,88.0,44.53,79.11,101.64,72.89,31.0,1170703.03,Thermal Insulation Boards,Emerging,GreenBuild Gujarat,Medium,Highly Recoverable,81.71,23.9,2025-01-12
SEC-012-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,13274.39,8.49,957.01,633.16,1942.91,348.92,6948.16,137.58,46.0,53.78,Oil Residue,52.86,44.22,60.58,22.06,1.1,59.87,28.61,32.21,229.91,20.02,49.51,2149328.89,Eco Packaging Sheets,Very High,GreenBuild Gujarat,Medium,Low Recovery Potential,41.95,29.7,2025-01-12
SEC-013-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Mixed,902.57,7.9,601.37,510.13,1492.49,449.71,1641.73,411.52,49.39,39.46,Organic Contaminants,76.68,80.49,71.2,50.86,8.68,89.34,68.0,30.65,107.82,53.39,7.51,2343567.56,Eco Packaging Sheets,Very High,UltraTech EcoBuild,Medium,Low Recovery Potential,90.75,28.2,2025-01-13
SEC-013-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,3944.65,7.26,1228.87,501.95,7831.18,24.69,3071.74,252.66,7.65,26.93,Low Contamination,43.87,42.57,37.72,10.75,6.29,55.79,66.97,88.48,446.02,32.69,41.4,3168983.9,Industrial Pigments,High,GreenBuild Gujarat,Medium,Low Recovery Potential,81.9,15.6,2025-01-13
SEC-013-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,14819.4,5.66,279.92,303.81,5738.37,153.41,7956.55,197.24,68.19,30.27,Low Contamination,71.32,79.34,47.11,64.15,2.24,52.11,44.47,92.08,280.1,87.77,9.13,2163780.13,Acoustic Insulation Panels,Very High,Reliance Circular Ventures,High,Needs Advanced Treatment,63.35,24.5,2025-01-13
SEC-013-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Textile,1730.69,5.57,915.84,264.21,5654.05,233.58,2207.95,141.88,24.48,27.53,Oil Residue,62.01,55.85,75.16,57.23,8.3,79.3,40.66,69.88,5.99,45.87,59.93,411479.05,Industrial Pigments,Emerging,UltraTech EcoBuild,Low,Needs Advanced Treatment,56.78,11.2,2025-01-13
SEC-014-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Chemical,11880.77,7.82,589.41,456.1,6310.71,279.68,3475.84,35.04,66.98,24.38,Organic Contaminants,68.01,60.89,52.89,40.52,8.63,50.04,11.89,39.84,150.33,53.14,43.63,2760231.31,Industrial Pigments,High,UltraTech EcoBuild,High,Needs Advanced Treatment,77.55,10.2,2025-01-14
SEC-014-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Polymer,14187.13,8.21,159.12,141.87,5902.35,381.81,329.77,529.1,27.42,28.53,Organic Contaminants,68.97,64.34,76.83,37.58,9.34,77.65,22.84,50.54,200.31,43.77,18.12,4228976.1,Industrial Pigments,High,UltraTech EcoBuild,Medium,Highly Recoverable,42.49,13.1,2025-01-14
SEC-014-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,8633.34,6.92,1232.51,62.97,6492.92,548.22,1984.45,295.08,34.95,34.41,Organic Contaminants,64.78,64.78,37.45,41.01,6.52,80.54,21.69,93.68,13.7,25.9,15.24,618517.69,Eco Bricks,High,EcoPack India,Medium,Moderately Recoverable,62.2,27.3,2025-01-14
SEC-015-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,14125.63,6.53,1281.29,351.69,1963.96,165.46,6682.45,561.8,25.1,38.84,Color Pigments,61.28,63.98,60.22,29.87,4.46,65.34,59.88,30.75,19.83,33.5,35.26,2183007.22,Acoustic Insulation Panels,High,Reliance Circular Ventures,Low,Low Recovery Potential,59.1,22.1,2025-01-15
SEC-015-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,10551.36,7.88,710.43,318.07,6176.01,303.86,2042.35,73.27,13.87,45.5,Heavy Metals,77.11,81.17,53.39,30.76,5.39,75.28,58.49,69.02,69.72,42.53,22.1,895344.33,Compressed Construction Blocks,Very High,UltraTech EcoBuild,High,Highly Recoverable,41.06,12.2,2025-01-15
SEC-015-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,5938.25,5.31,1245.12,261.99,6584.88,105.79,3416.02,57.44,54.6,41.1,Color Pigments,74.02,72.33,75.48,37.76,9.89,81.36,14.22,63.39,232.24,59.26,34.31,363060.15,Industrial Pigments,Very High,GreenBuild Gujarat,High,Moderately Recoverable,85.31,5.8,2025-01-15
SEC-015-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Textile,12527.63,6.19,1366.98,409.37,5266.28,350.85,7604.88,552.39,53.79,29.02,Oil Residue,53.54,50.32,48.43,28.86,9.56,55.01,16.57,69.02,128.85,25.36,53.18,3621207.43,Compressed Construction Blocks,Very High,UltraTech EcoBuild,Low,Moderately Recoverable,68.81,24.9,2025-01-15
SEC-016-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Printing Dye Sludge,Polymer,3350.83,5.5,1398.11,593.06,788.63,546.68,2235.85,429.24,6.23,43.32,Heavy Metals,85.4,69.63,90.02,44.28,5.38,56.25,79.37,65.35,137.04,21.21,10.29,3517013.76,Eco Packaging Sheets,Very High,UltraTech EcoBuild,Medium,Moderately Recoverable,48.62,29.6,2025-01-16
SEC-016-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,1151.91,8.54,424.73,519.29,7410.3,556.47,5880.29,31.94,37.64,56.79,Color Pigments,68.98,65.53,62.26,38.87,8.58,65.09,22.45,77.29,258.57,73.08,34.11,3220421.68,Thermal Insulation Boards,High,GreenBuild Gujarat,Medium,Needs Advanced Treatment,79.24,4.4,2025-01-16
SEC-017-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,13284.4,8.04,141.72,484.34,6958.3,152.79,6305.87,493.5,37.23,41.99,Chromium,76.8,63.89,78.49,57.85,7.33,78.43,63.47,91.6,349.23,68.76,52.92,230115.01,Thermal Insulation Boards,Emerging,UltraTech EcoBuild,Low,Highly Recoverable,40.4,10.3,2025-01-17
SEC-017-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Textile,1077.11,6.32,919.74,153.12,1750.78,43.48,7209.11,38.5,27.47,27.2,Low Contamination,77.32,81.64,39.55,33.02,6.83,90.03,34.07,66.97,165.98,43.26,30.45,2267711.48,Industrial Pigments,High,GreenBuild Gujarat,Medium,Highly Recoverable,48.63,20.2,2025-01-17
SEC-017-3,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Mixed,12287.03,5.83,1396.24,522.69,1673.07,277.37,3408.76,299.56,58.39,55.08,Heavy Metals,94.03,92.49,45.37,30.61,2.69,75.76,21.84,39.64,242.79,25.43,61.81,4263809.02,Thermal Insulation Boards,High,UltraTech EcoBuild,Low,Needs Advanced Treatment,65.0,23.9,2025-01-17
SEC-017-4,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Chemical,6941.46,6.56,946.27,80.18,6589.01,625.99,6848.43,455.69,61.69,37.68,Color Pigments,96.37,106.09,93.6,57.16,6.49,46.77,57.21,84.73,368.69,90.45,10.69,2915137.22,Thermal Insulation Boards,Emerging,GreenBuild Gujarat,Low,Needs Advanced Treatment,85.48,25.9,2025-01-17
SEC-017-5,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Sludge,Chemical,11120.51,7.95,527.29,149.62,1357.14,246.97,6365.87,487.17,17.81,29.75,Chromium,63.39,66.78,46.71,16.7,4.77,75.43,76.06,93.94,436.33,90.72,12.43,4280299.01,Eco Bricks,High,GreenBuild Gujarat,High,Highly Recoverable,64.03,5.3,2025-01-17
SEC-018-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Chemical Effluent,Chemical,12746.92,7.39,1325.39,103.32,8911.2,344.98,3646.19,401.25,7.3,44.28,Low Contamination,63.88,51.43,53.1,27.34,2.0,53.13,48.0,34.12,70.29,41.74,42.53,378954.52,Eco Packaging Sheets,High,JSW Green Materials,Low,Low Recovery Potential,59.9,15.6,2025-01-18
SEC-018-2,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Fabric Fiber Residue,Polymer,11343.25,8.4,1065.29,599.43,8446.5,351.78,4481.19,249.0,33.87,54.42,Low Contamination,92.67,88.26,82.76,47.12,9.7,71.09,19.47,59.48,114.79,30.32,27.67,2297355.4,Compressed Construction Blocks,High,GreenBuild Gujarat,Medium,Moderately Recoverable,74.75,22.2,2025-01-18
SEC-019-1,Surat EcoTex Dyeing Pvt Ltd,Surat,Gujarat,Textile Dyeing & Processing,Textile Dye Waste,Polymer,14255.86,5.21,972.67,270.69,2260.41,90.2,661.89,409.31,46.93,53.41,Low Contamination,90.97,93.35,37.72,39.84,1.97,67.52,67.07,68.34,44.4,86.68,55.02,299549.7,Compressed Construction Blocks,Very High,UltraTech EcoBuild,Low,Needs Advanced Treatment,63.11,21.3,2025-01-19
