batch_id,factory_name,country,city,industry_type,waste_type,quantity_kg,material_category,contaminants,pH,COD_mg_L,BOD_mg_L,TDS_mg_L,turbidity_NTU,conductivity_uS_cm,dye_concentration_ppm,sludge_percentage,temperature_C,recyclability_score,recovery_feasibility_score,profitability_score,predicted_roi_percent,workforce_requirement_score,machinery_compatibility_score,logistics_complexity_score,circularity_score,carbon_reduction_tons,water_recovery_percent,energy_savings_percent,estimated_market_value_inr,recommended_product,predicted_market_demand,recommended_buyer,treatment_dependency,ai_segmentation_category,esg_impact_score,estimated_payback_months,upload_date
RWX-100036,"Garza, Ryan and Brown",Bangladesh,Seoul,Leather Processing,Industrial Wastewater,15824.11,Textile,High TDS,5.81,506.65,23.55,10021.77,755.54,4907.58,247.12,64.52,22.5,78.11,57.22,81.03,47.04,2.74,87.0,55.25,50.15,92.06,89.27,40.12,8549559.77,Eco Packaging,Emerging,RenewLoop Manufacturing,Low,Highly Recoverable,71.78,46.7,2023-12-09
RWX-100037,Kala-Seshadri,India,Pune,Chemical Processing,Mixed Industrial Waste,9854.63,Polymer,Chromium,4.4,786.63,807.04,11963.55,610.91,3074.16,51.58,68.47,45.03,69.54,61.16,67.92,55.88,5.87,87.21,89.35,38.68,686.72,32.74,23.47,3303601.1,Thermal Insulation Boards,Emerging,Tata Sustainable Materials,Medium,Low Recovery Potential,49.34,8.1,2024-10-12
RWX-100038,"Toor, Bhavsar and Sachar",India,Noida,Paper Manufacturing,Printing Dye Sludge,16376.53,Textile,Chromium,8.89,1687.26,395.94,8136.41,630.56,3944.08,74.78,48.73,21.39,20.38,15.82,88.17,44.9,2.07,84.28,58.76,86.8,470.99,39.99,59.55,7710631.84,Eco Concrete Additives,Medium,CircularTex Global,Low,Highly Recoverable,85.56,19.4,2025-06-27
RWX-100039,Saha and Sons,India,Pune,Textile Manufacturing,Mixed Industrial Waste,20096.21,Organic,Heavy Metals,4.34,810.29,690.21,818.04,610.51,866.32,351.5,31.0,45.05,61.12,70.14,70.92,54.74,7.03,46.52,69.9,63.05,15.98,64.91,48.77,4382187.16,Recycled Plastic Lumber,High,CircularTex Global,High,Low Recovery Potential,34.43,33.4,2024-04-25
RWX-100040,Rogers-Brown,UK,Shanghai,Paper Manufacturing,Polyester Fiber Waste,924.39,Mixed,Heavy Metals,6.95,525.7,736.31,8507.06,531.09,3207.18,148.61,29.34,41.07,59.62,57.78,24.99,79.11,4.02,47.08,38.79,47.27,726.84,17.91,31.44,7874690.89,Industrial Absorbent Pads,High,JSW Green Materials,Low,Low Recovery Potential,97.55,37.9,2022-06-29
RWX-100041,"Dash, Yadav and Issac",India,Tiruppur,Paper Manufacturing,Synthetic Residue,143.73,Polymer,Microplastics,9.27,1126.34,753.92,2707.03,318.71,6019.67,221.87,39.9,64.12,49.82,39.82,22.66,21.7,6.04,70.09,85.31,48.68,855.7,79.0,28.78,5550898.0,Compressed Construction Blocks,Very High,Reliance Circular Ventures,Low,Needs Advanced Treatment,53.77,31.2,2023-06-15
RWX-100042,Cheema Inc,India,Ludhiana,Paper Manufacturing,Synthetic Residue,12575.96,Mixed,Lead,5.45,620.67,618.43,3490.35,649.72,6435.69,172.62,24.6,36.75,29.43,25.73,70.28,40.21,9.92,62.11,55.99,91.74,13.7,24.96,45.43,1370437.86,Circular Fashion Fibers,Very High,EcoPack Solutions,High,Low Recovery Potential,64.25,24.0,2023-03-25
RWX-100043,"Dasgupta, Som and Dar",India,Ludhiana,Garment Processing,Polyester Fiber Waste,9375.61,Textile,Chromium,4.21,1484.38,100.82,11629.4,94.56,1985.82,447.8,72.82,63.41,39.48,33.04,85.54,55.26,5.11,61.18,13.72,37.47,621.91,37.18,15.12,8550363.24,Compressed Construction Blocks,Emerging,JSW Green Materials,Low,Needs Advanced Treatment,36.94,28.3,2024-02-19
RWX-100044,"Khatri, Bobal and Keer",India,Noida,Construction Materials,Textile Dye Waste,18567.25,Chemical,Oil Residue,8.92,1661.02,222.32,6967.26,331.39,8803.53,69.82,5.36,42.14,66.59,59.82,60.56,65.45,7.74,90.08,51.43,47.45,978.96,72.04,68.96,9814649.65,Circular Fashion Fibers,High,GreenBuild International,Medium,Needs Advanced Treatment,97.69,34.2,2023-06-07
RWX-100045,"Kara, Lata and Dube",India,Jaipur,Industrial Dyeing,Printing Dye Sludge,13268.79,Textile,Low Contamination,6.2,878.67,743.63,8447.15,210.11,2792.77,604.21,39.99,48.54,24.17,23.04,25.99,33.91,9.28,75.09,13.77,96.71,313.31,64.22,34.52,4714876.35,Eco Packaging,Emerging,Tata Sustainable Materials,High,Moderately Recoverable,84.21,17.5,2022-09-09
RWX-100046,Wolf PLC,UK,Istanbul,Metal Processing,Mixed Industrial Waste,8191.19,Chemical,Organic Contaminants,9.46,1131.09,564.78,10306.38,29.17,5800.23,373.6,31.96,36.6,29.99,27.32,39.3,68.3,2.98,84.74,52.7,57.98,882.35,85.08,40.69,3983998.06,Compressed Construction Blocks,High,JSW Green Materials,High,Moderately Recoverable,35.47,4.3,2025-01-29
RWX-100047,Barad Inc,India,Mumbai,Paper Manufacturing,Textile Dye Waste,1679.36,Metal,High TDS,6.77,64.8,824.77,3157.4,459.33,125.04,500.8,57.06,59.42,42.03,45.46,22.1,35.54,8.52,93.8,54.36,63.2,191.36,43.85,69.22,3038194.34,Composite Wall Panels,Very High,EcoPack Solutions,Low,Low Recovery Potential,64.77,27.3,2024-04-05
RWX-100048,"Hoffman, Wells and Good",Thailand,Ho Chi Minh City,Synthetic Fiber Plant,Polyester Fiber Waste,1674.79,Polymer,Sulfide,8.95,733.23,418.02,8198.05,254.59,7667.93,129.07,77.53,20.93,73.97,60.87,97.88,22.21,5.79,40.26,84.26,33.53,435.94,76.64,25.78,1516816.77,Composite Wall Panels,Very High,GreenBuild International,High,Needs Advanced Treatment,77.64,45.1,2025-03-23
RWX-100049,Smith Inc,Japan,Dubai,Chemical Processing,Fabric Scraps,24128.08,Metal,Low Contamination,9.67,1550.34,134.24,11517.6,171.47,2190.39,383.12,79.97,31.05,90.78,87.94,54.8,40.42,8.12,81.44,41.0,65.55,378.65,77.46,65.46,7110961.22,Eco Bricks,Very High,UltraTech EcoBuild,Medium,Needs Advanced Treatment,72.6,10.1,2023-03-14
RWX-100050,"Henry, Hartman and Terry",Thailand,Tokyo,Metal Processing,Fabric Scraps,9438.59,Polymer,Color Pigments,5.38,952.63,207.78,11971.97,435.74,8987.89,106.08,46.22,23.93,80.78,62.25,35.53,14.2,9.16,91.59,74.17,76.57,731.45,85.09,42.39,6362842.38,Industrial Pigments,High,Tata Sustainable Materials,Medium,Moderately Recoverable,82.44,8.0,2024-06-28
RWX-100051,"Rose, Robinson and Hall",China,Bangkok,Garment Processing,Fabric Scraps,5166.83,Mixed,Color Pigments,8.95,819.16,799.09,4300.2,831.35,6626.16,669.41,74.25,27.97,47.04,42.35,30.98,78.76,1.75,48.92,67.13,40.17,463.61,84.23,34.08,985677.54,Compressed Construction Blocks,Emerging,UltraTech EcoBuild,High,Moderately Recoverable,82.67,20.2,2022-09-06
RWX-100052,Hernandez-Davies,USA,New York,Synthetic Fiber Plant,Synthetic Residue,4996.04,Mixed,High TDS,7.21,916.11,678.68,10069.14,784.75,3787.87,513.55,27.53,62.82,77.55,81.8,88.96,39.67,5.51,85.48,27.26,26.17,375.72,54.39,53.07,4848314.9,Composite Wall Panels,High,RenewLoop Manufacturing,Medium,Low Recovery Potential,75.52,7.9,2023-05-08
RWX-100053,Anderson Ltd,USA,Ho Chi Minh City,Chemical Processing,Industrial Wastewater,24343.1,Chemical,Color Pigments,9.54,1511.01,509.65,3578.93,638.84,9440.21,561.77,67.68,19.59,31.49,27.23,30.12,41.19,6.12,47.35,30.25,40.45,424.09,14.32,36.38,7607750.13,Acoustic Panels,Very High,JSW Green Materials,Low,Moderately Recoverable,78.06,12.5,2025-04-04
RWX-100054,Kohli Ltd,India,Pune,Metal Processing,Fly Ash,18379.84,Textile,High TDS,9.03,283.29,645.38,2876.23,125.39,5597.06,598.69,48.56,36.35,50.28,55.29,74.6,27.08,4.65,43.02,73.45,61.82,549.2,84.69,66.27,4968437.15,Acoustic Panels,Very High,CircularTex Global,Medium,Moderately Recoverable,51.94,30.5,2025-11-04
RWX-100055,"Bansal, Zachariah and Ben",India,Noida,Textile Manufacturing,Chemical Effluent,6215.48,Textile,Microplastics,6.59,89.87,770.68,365.09,807.82,9866.05,607.58,61.25,63.4,41.11,43.75,90.41,30.0,2.29,70.17,78.22,60.18,983.53,97.07,19.62,3800720.56,Recycled Plastic Lumber,High,UltraTech EcoBuild,High,Moderately Recoverable,47.35,36.3,2023-07-04
RWX-100056,Buch Inc,India,Noida,Industrial Dyeing,Sludge,2923.68,Mixed,Sulfide,8.99,948.29,493.79,388.84,102.82,292.49,292.19,72.28,27.33,35.27,38.02,60.38,9.33,10.0,62.43,94.79,82.21,250.79,52.04,27.93,8594533.67,Eco Concrete Additives,Medium,UltraTech EcoBuild,High,Highly Recoverable,81.42,23.4,2023-12-05
RWX-100057,Amble Inc,India,Kanpur,Plastic Recycling,Mixed Industrial Waste,6423.31,Metal,Microplastics,5.82,514.89,188.16,9638.67,475.36,1192.45,189.82,23.06,60.66,35.26,39.23,19.82,73.51,2.15,81.66,18.91,48.94,275.22,51.17,17.83,8154051.77,Circular Fashion Fibers,Emerging,Tata Sustainable Materials,High,Moderately Recoverable,59.27,39.7,2023-02-11
RWX-100058,Som-Rattan,India,Panipat,Chemical Processing,Polyester Fiber Waste,2487.33,Polymer,High TDS,4.18,500.44,128.64,11529.98,733.46,1619.58,643.47,31.82,28.26,94.6,70.03,34.21,60.85,2.23,83.44,29.26,96.57,889.27,88.48,56.03,468923.98,Compressed Construction Blocks,High,RenewLoop Manufacturing,Low,Needs Advanced Treatment,89.47,43.5,2025-03-20
RWX-100059,Dutt Group,India,Jaipur,Garment Processing,Mixed Industrial Waste,23305.01,Textile,Chromium,9.24,1746.09,566.23,4815.17,650.14,9940.57,193.65,6.49,39.63,98.92,83.06,22.01,26.85,6.13,86.98,46.58,86.81,626.58,30.96,42.26,4908646.51,Acoustic Panels,Very High,Asian Paints Eco Division,Low,Moderately Recoverable,81.01,5.4,2023-10-02
RWX-100060,Wagner and Sons,USA,Istanbul,Construction Materials,Polyester Fiber Waste,10470.61,Mixed,Heavy Metals,8.6,1475.5,30.61,10167.05,327.9,361.89,399.17,8.68,57.35,48.42,42.24,15.76,31.45,1.45,49.73,45.83,50.81,876.44,65.33,34.22,6650475.58,Eco Concrete Additives,Very High,RenewLoop Manufacturing,High,Low Recovery Potential,52.47,17.2,2023-09-16
RWX-100061,"Basak, Sethi and Srinivas",India,Mumbai,Industrial Dyeing,Mixed Industrial Waste,12217.66,Metal,Organic Contaminants,4.99,1469.85,484.79,3356.9,175.51,8066.22,97.99,10.58,57.06,87.54,92.69,70.82,26.11,4.05,98.77,94.75,66.6,942.32,84.7,53.49,8559633.62,Eco Concrete Additives,Very High,Mahindra Sustainable Solutions,Low,Low Recovery Potential,73.19,28.9,2023-01-14
RWX-100062,Walla-Soman,India,Mumbai,Textile Manufacturing,Printing Dye Sludge,5862.29,Polymer,Organic Contaminants,9.19,270.38,497.02,6652.79,103.29,6208.42,349.66,2.09,33.9,62.9,46.64,32.05,8.77,5.57,68.3,64.82,58.39,501.81,91.02,54.48,6513847.88,Eco Packaging,High,Reliance Circular Ventures,High,Needs Advanced Treatment,75.78,43.9,2023-03-31
RWX-100063,Mahal PLC,India,Tiruppur,Synthetic Fiber Plant,Sludge,9951.21,Organic,Color Pigments,8.37,846.7,295.51,961.39,153.08,5760.73,247.1,78.26,44.97,34.98,37.42,50.88,78.47,8.04,39.37,54.46,43.94,892.82,95.96,25.32,8355818.47,Composite Wall Panels,Emerging,GreenBuild International,High,Low Recovery Potential,63.82,12.0,2023-10-04
RWX-100064,"Vaughn, Romero and Warren",Germany,Jakarta,Garment Processing,Sludge,1604.99,Chemical,Oil Residue,5.59,1120.08,207.52,8323.27,43.41,1385.66,116.87,65.21,54.31,54.1,52.23,57.7,9.35,7.59,50.25,40.23,32.36,229.0,95.66,27.86,8376673.68,Recycled Plastic Lumber,Very High,JSW Green Materials,Low,Moderately Recoverable,84.72,32.5,2025-11-11
RWX-100065,Banerjee Group,India,Noida,Chemical Processing,Printing Dye Sludge,412.93,Chemical,Microplastics,4.09,435.14,328.29,4536.4,208.63,1527.59,375.58,17.68,29.28,28.01,32.09,47.49,44.79,8.54,53.59,90.24,59.65,320.42,31.46,27.25,6006252.89,Industrial Pigments,Medium,JSW Green Materials,Low,Needs Advanced Treatment,38.26,4.1,2022-11-16
